SR NO,Type,Keywords,Favored Careers,Disfavoured Careers
1,RCOAI,"not relationship obsessed, withdrawn, risk averse, not wild and crazy, toned down, thinks before acting, fearless, peaceful, does not like to be the center of attention, quiet, relaxed, level emotions, averse to crowds, unadventurous, punctual, non-aggressive, interested in science, patient, not easily deterred, loner, good at saving money, private, values solitude, avoids unnecessary interaction, not spontaneous, avoids small talk, positive, not overly expressive of emotions, lower energy level, calm in crisis, always knows why they do things, theistic tendencies, non-antagonistic, predictable, analytical, optimistic, not prone to jealousy, not prone to addiction, not preoccupied with appearance, unswayed by emotions, deeply moved by the misfortunes of others, usually happy, influenced more by self than others, true to themself in all circumstances, modest, finishes most things they start, always prepared, competent, focused, more responsible than pleasure seeking, socially unskilled, realistic, planner, not physically affectionate with most people, self confident","research scientist, scientist, biotechnology, researcher, biochemist, scholar, microbiologist, genetics researcher, biomedical engineer, academic, computer scientist, chemical engineer, biologist, chemist, neurologist, data analyst, medical researcher, strategist, lab technician, mathematician, geneticist, engineer, physicist, analyst, astronomer, philosopher, aerospace engineer, math teacher, theologian, college professor, philosophy professor, military intelligence, nuclear engineer, environmental scientist, computer engineer, systems analyst, technician, medical doctor, computer tech, librarian, information technology consultant, neurosurgeon, cardiologist, medical examiner, government employee, geologist, civil servant, chemistry teacher, information technology manager, archeologist, archivist, computer programmer, surgeon","entertainer, fashion industry, stylist, movie star, rock star, fashion editor, model, television industry, fashion merchandiser, actor, hair stylist, fashion designer, performer, radio dj, entertainment industry, radio dj, bar owner, bartender"
2,RCOAN,"not spontaneous, unadventurous, uncompetitive, not relationship obsessed, toned down, not physically affectionate with most people, not outgoing, does not like to be the center of attention, organized, level emotions, thinks before acting, prefers organized to unpredictable, religious tendencies, easy to understand, risk averse, realistic, modest, focused, more responsible than pleasure seeking, not prone to addiction, not wild and crazy, feels ordinary, punctual, prefers to finish things ahead of schedule, patient, always prepared, averse to crowds, exacting in their work, not big on philosophical discussions, not interested in science, predictable, honest, averse to change, lower energy level, avoids making mistakes, private, not hard to satisfy, not easily discouraged, not very curious, not prone to jealousy, values rules and regulations, not prone to displays of anger, calm in crisis, forgiving, responsible, proper, socially unskilled, usually happy, does not like small talk","pediactric nurse, stay at home parent, personal assistant, child care worker, kindergarten teacher, home maker, health care worker, office worker, secretary, clerical employee, office assistant, career in public health, administrative assistant, clerk, office administrator, preschool teacher, nurse, childhood educator, receptionist, bank teller, hospitality worker, cashier, missionary, administrative support, nurse practitioner, medical assistant, medical transcriptionist, nanny, special education teacher, customer service employee, career in the medical field, social worker, social services worker, office manager, special education worker, housekeeper, pediatrician, athletic trainer, physical therapist, physician assistant, accountant, customer service representive, hospitality manager, career in sports medicine, wedding planner, veterinary tech, emergence medical technician (emt), zoo keeper, youth pastor, human resources employee, pharmacist or pharmacy tech, dental hygienist",
3,RLOAN,"not spontaneous, prefers organized to unpredictable, reserved, fearful, unadventurous, anxious, insecure, plays it safe, more responsible than pleasure seeking, easily intimidated, risk averse, easily frightened, uncomfortable in unfamiliar situations, easily hurt, attached to conventional ways, maintains spaces in orderly manner, second guesses self, backs down when threatened, afraid of providing criticism, quiet around strangers, afraid to draw attention to self, worrying, overwhelmed by unpleasant emotions frequently, averse to crowds, private, easily moved to tears, fears failure, does not like arguments, unable to disregard rules, unable to speak up for self, embarrassed easily, easy to persuade, finishes most things they start, not good at telling jokes, not very curious, modest, depressed, feels ordinary, not wild and crazy, planner, prone to panic, organized, not big on philosophical discussions, skeptical, apologetic, values rules and regulations, prefers to finish things ahead of schedule, socially unskilled, inflexible, punctual","home maker, stay at home parent, receptionist, office assistant, office worker, secretary, early childhood educator, child care worker, preschool teacher, pediatric nurse, kindergarten teacher, personal assistant, social services worker, health care worker, administrative assistant, clerical employee, housekeeper, office administrator, wedding planner, nanny, nurse, elementary school teacher, hospitality worker, nurse practitioner, midwife, dental assistant, special education teacher, clerk, public health, administrative support, medical assistant, social worker, special education worker","
movie director, philosopher, entertainer, filmmaker, comedian, film producer, performer, ambassador, strategist, philosophy professor, international spy, astronaut, entertianment industry, creative director, political scientist, game designer, assassin, cinematographer, reporter, politician, scholar, ceo, playwright, fighter pilot, video game designer, diplomat, record producer, physicist, casting director, screenwriter"
4,RLOAI,"withdrawn, loner, not wild and crazy, does not like the spotlight, worrying, crowd averse, afraid to draw attention to self, easily hurt, fearful, prone to low physical fitness, fears mistakes, prone to health problems, hard to get to know, risk averse, unable to speak up for self, becomes overwhelmed by events, not self confident, depressed, embarrassed by praise, prefers organized to unpredictable, apprehensive about new encounters, not good at telling jokes, easily intimidated, quiet around strangers, socially unskilled, easily offended, avoids being a bother to anyone, anxious, plays it safe, not spontaneous, some attraction to things associated with sadness, easily discouraged, apologetic, private, requires lots of time alone to recharge, self loathing, avoidant, second guesses self, low energy level, values solitude, not physically affectionate with most people, not competitive, lonely, hesitant, thinks before acting, not aggressive, very clean, feels unattractive, stressed, proper, values rules and regulations, plain, avoids small talk, resigned","researcher, scholar, research assistant, bookstore owner, book editor, academic, libary assistant, research scientist, bookseller, novelist, scientist, archeologist, librarian, microbiologist, medical researcher, research psychologist, historian, forensic psychologist, environmental scientist, genetics researcher, editor, english profesor, museum curator, theologian, philosopher, author, psychotherapist, philosophy professor, geneticist, environmentalist, astronomer, analyst, archivist, biochemist, college professor, biologist, professor of english, psychoanalyst, curator, neurologist, forensic scientist, psychologist, chemist, forensic anthropologist, history professor, psychiatrist, non profit sector, math teacher, clinical psychologist, data analyst, art historian, english teacher, lab technician, biotechnology, healer, biomedical engineer, linguist, publisher","entertainer, movie star, bar owner, athlete, rock star, model, entertainment industry, record producer, fashion industry, salesman, radio broadcaster, radio dj, sales manager, comedian, race car driver, bartender, marketing manager, advertising, sports management, business manager, broadcasting, actor"
5,RLUAI,"moody, not good at sports, low energy level, unable to speak up for self, avoidant, depressed, withdrawn, attracted to things associated with sadness, easily frightened, feels defective, lonely, no self confidence, easily discouraged, avoids crowds, backs down when threatened, easily intimidated, socially unskilled, loner, unproductive, late with work, prone to health problems, focuses on fantasies more than reality, self loathing, wounded at the core, easily hurt, often sad, becomes overwhelmed by events, fearful, rarely prepared, fears doing the wrong thing, often aware how the color and lighting of a room affects their mood, feels untalented, quiet around strangers, prone to addiction, doubting, anxious, easily confused, frequently overwhelmed by unpleasant feelings, weak sense of purpose, relates to broken and discarded things, unsure where life is going, continually losing things, fears drawing attention to self, avoids unnecessary interaction, often bored, second guesses self, embarrassed by praise, worrying, resigned, prone to jealousy","philosophy professor, novelist, poet, philosopher, bookseller, author, bookstore owner, freelance artist, professor of english, freelance writer, museum curator, playwright, anthropologist, art historian, artist, research scientist, archeologist, egyptologist, researcher, art curator, songwriter, comic book artist, screenwriter, composer, book editor, musician, scholar, historian, theologian, research psychologist, school psychologist, library assistant, part of non profit sector, paleontologist, cartoonist, astronomer, painter, english teacher, theatre technician, illustrator, environmentalist, music therapist, publisher, psychotherapist, history professor, ecologist, psychoanalyst, curator, clinical psychologist, psychologist, video game designer, wildlife biologist, scientist, art teacher, photo journalist, activist, drummer, librarian, cinematographer, music journalist, graphic artist, travel writer, filmmaker, music educator, child psychologist, marine biologist, editor, art director, zoologist, art education, research assistant, botanist, professional college student, forensic anthropologist","businessman, business manager, manager, athletic trainer, supervisor, office manager, event coordinator, management consultant, model, sales manager, real estate agent, event planner, sports management, athlete, executive, personal trainer, business owner, marketing manager, office administrator, real estate professional, real estate investor, business administrator, ceo, marketing director, fashion merchandiser, financial manager, salesman, financial planner, public relations specialist, corporate lawyer, sales associate, project manager, admin support, executive assistant"
6,RLUAN,"socially unskilled, unable to speak up for self, depressed, low self confidence, afraid of providing criticism, discontent, negative, apologetic, not a leader, quiet around strangers, prone to lateness, easy to fool, low energy level, easily distracted, feels defective, avoids crowds, avoids unnecessary social interaction, easy to persuade, avoidant, anxious, worrying, pessimist, unambitious, private, dependent, easily hurt, self loathing, frequently overwhelmed by unpleasant emotions, dislikes the spotlight, afraid to draw attention to self, fearful, weak sense or purpose, easily discouraged, lonely, not punctual, finishes work late, unadventurous, uninterested in science, prone to panic, easily embarrassed, happy doing mindless work, unproductive, loner, embarrassed by praise, prone to tears, easy to influence, feels unattractive, uncompetitive, modest, apprehensive about new encounters, second guesses self, feels untalented, not big on philosophical discussions, hesitant, undemanding, overly nice, avoids being a bother to anyone","childcare worker, stay at home parent, hair dresser, florist, nanny, veterinarian, comic book artist, kindergarten teacher, housekeeper, zoo keeper, home maker, baker, social worker, makeup artist, musician, cosmetologist, poet, midwife, hair stylist, library assistant, librarian, bookstore owner or employee, veterinary tech, pastry chef, beautician, tatto artist, art therapist, photographer, fashion designer, freelance artist, cartoonist, body piercer, shop assistant, graphic artist, pediatric nurse, songwriter, elementary school teacher, school counselor, costume designer, music educator, counselor, missionary, cashier, photo journalist, music therapist, camera operator, flight attendant, digital artist, special education teacher, career in the non profit sector, art teacher, nurse practitioner, retail employee, nurse, horse trainer, receptionist, illustrator, record store owner or employee, zoologist, youth minister, computer animator, theater technician, child psychologist, massage therapist, school psychologist, artist, secretary",
7,RCUAN,"uncompetitive, unadventurous, level emotions, not bothered by disorder, not spontaneous, dislikes the spotlight, does not like to display anger, backs down when threatened, risk averse, unambitious, disorganized, messy, unconcerned with prestige/impressiveness, not detail oriented, not manipulative, slow to acquire skills, patient, not relationship obsessed, not aggressive, not wild and crazy, not physically affectionate with most people, underachiever, easily deterred, no interest in leadership, inattentive to the social hierarchy, not superficial, independent, not self absorbed, does not look for hidden meaning in things, modest, can be easily deterred, patient, embarrassed by praise, tolerant, not guided by moods, not very inquisitive, not easily frustrated, not prone to jealousy, easily confused, forgiving, not punctual, easy to satisfy, rarely prepared, private, avoids crowds, attached to conventional ways, not interested in science, slow to judge others, not open about feelings, not prone to addiction, positive, patient, not interested in abstract ideas, feels ordinary, willing to try new things, not materialistic","animal trainer, construction worker, zoo keeper, firefighter, tattoo artist, race car driver, mechanic, guitarist, preschool teacher, police officer, graphic designer, childcare worker, soldier, military employee, carpenter, truck driver, cook, auto mechanic, computer animator, construction manager, video game designer, wildlife biologist, photographer, pilot, horse trainer, paramedic, special education teacher, technician, mechanic, veterinarian, veterinary tech, forest ranger, bounty hunter, mercenary, cashier, animator, nurse, illustrator, career in art education, electrician, body piercer, special education worker, music performer, plumber, elementary education teacher, chef, social services worker, kindergarten teacher, baker, bartender, artist","university professor, executive, project manager, event coordinator, ambassador, supervisor, academic, business manager, international business specialist, business consultant, strategist, ceo, philosophy professor, scholar, business administrator"
8,RCUAI,"avoidant, often late, patient, rarely prepared, non-aggressive, slow to judge others, withdrawn, unconcerned with image, relaxed, avoids crowds, easy going, not demanding, low maintenance, unambitious, not domineering, private, thinks before acting, concerned with the feelings of others, not wild and crazy, not controlling, does not like to show anger, hard to offend, dislikes the spotlight, uninterested in leading, not competitive, overly nice, not physically affectionate with most people, not bothered by disorder, level emotions, does not second guess self, agnostic/atheistic tendencies, not picky about food, not relationship obsessed, unproductive, unimposing, plain in appearance, disorganized, loner, lower energy level, very curious, uninterested in prestige/fame, not superficial, likes difficult reading material, does not get worked up about most things, fearless, flexible, trusting, does not stick to plans, easily distracted, interested in science, unconcerned that people have trouble reading them, a good loser, modest, not swayed by emotions","philosopher, philosophy professor, scientist, research scientist, novelist, author, astronomer, astronaut, freelance writer, archeologist, researcher, environmental scientist, scholar, physicist, anthropologist, forest ranger, museum curator, theologian, bookseller, biotechnology, guitarist, game designer, aerospace engineer, college professor, geologist, pilot, egyptologist, video game designer, audio engineer, poet, ecologist, biochemist, animator, genetics researcher, forensic anthropologist, wildlife biologist, computer programmer, paleontologist, chemist, freelance artist, assassin, comic book artist, cartoonist, engineer, art historian, strategist, psychoanalyst, artist, research psychologist, environmental engineer, historian, computer engineer, sailor, computer animator, political scientist, non profit sector, forensic scientist, history professor, software engineer, screenwriter microbiologist","executive, manager, fashion designer, fashion editor, stylist, office administrator, executive assistant, businessman, interior designer/decorator, sales manager, business manager, real estate agent, administrative assistant, office assistant, personal assistant, business administrator, business consultant"
9,RCOEI,"withdrawn, not wild and crazy, private, loner, not relationship obsessed, not swayed by emotions, insensitive to the needs of others, unhelpful, interested in intellectual pursuits, avoidant, does not put the needs of others ahead of self, thinks before acting, very scientific, not upset by the misfortune of strangers, avoids small talk, values solitude, private, does not get worked up about most things, fearless, unaffected by the suffering of others, calm in crisis, not easily excited, won't do much to avoid rejection, not known for generosity, not easily confused, cold, not prone to complimenting others, dislikes most people but tries to get along to minimize hostility, hard to get to know, more dominant than submissive, not easily hurt, driven by reason, influenced more by self than others, rarely worried, hard to impress, not that interested in relationships, hard to influence, not concerned about failing when trying something new, self confident, knows why they do things, not easily moved to tears, not prone to jealousy, not guided by moods","scientist, research scientist, computer scientist, researcher, strategist, aerospace engineer, astronomer, nuclear engineer, biotechnology, analyst, chemical engineer, scholar, systems engineer, academic, engineer, computer engineer, mechanical engineer, biochemist, data analyst, military intelligence, philosopher, chemist, physicist, industrial engineer, mathematician, information technology professional, genetics researcher, software engineer, software developer, philosophy professor, systems analyst, biomedical engineer, research assistant, computer programmer, lab technician, astronaut, microbiologist, geneticist, computer industry, civil engineer, electrical engineer, information technology consultant, network engineer, financial analyst, information technology manager, business analyst, economist, computer consultant, database administrator, environmental scientist, computer tech, archelogist, statistician, diplomat, financial advisor, software designer, biologist, architect, chemistry teacher","entertainer, child care worker, makeup artist, wedding planner, fashion merchandiser, actor, fashion industry, kindergarten teacher, performer, fashion editor, social services worker, fashion designer, hair stylist, model, school counselor, preschool teacher, radio dj, stylist, entertainment industry, beautician, stay at home parent, early childhood educator, social worker, counselor, performing arts, dancer"
10,RCOEN,"not concerned with public image, not spontaneous, realistic, low maintenance, thinks before acting, does not second guess self, not relationship obsessed, withdrawn, feels you have to be tough on people to get things done, money is more important than acceptance, level emotions, does not put the welfare of others before self, not known for generosity, retaliatory, not forgiving, selfish, driven by reason, private, avoids difficult reading material, not physically affectionate with most people, unadventurous, insensitive to the needs of others, does not like touchy feely people, believes in an eye for an eye, avoids small talk, avoids crowds, does not back down when threatened, not than interested in people, thinks fun is not the most important thing in life, fearless, acts without consulting others, does not frequently reinvent self, not easily frightened, not that willing to compromise, not open to new experiences, does not believe in human goodness, not open about feelings, does not like to look weak, socially unskilled, hard to excite, not prone to comedy, more responsible than pleasure seeking","banker, accountant, office assistant, bank teller, office worker, loan officer, office manager, computer industry, office administrator, financial manager, businessman, financial planner, business manager, real estate professional, financial analyst, business administrator, investment banker, business owner, financial advisor, auto mechanic, computer technician, insurance agent, computer networking specialist, database administrator, career in the insurance industry, computer repair technician, business analyst, executive assistant, real estate agent, management consultant, technician","philosopher, author, philosophy professor, psychiatrist, freelance writer, performing arts, novelist, psychoanalyst, theater industry, performer, psychologist, music performer, pet, entertainer, actor, songwriter, clinical psychologist, scholar, college professor, psychotherapist, sociologist, playwright, activist, creative director"
11,RLOEN,"philosopher, author, philosophy professor, psychiatrist, freelance writer, performing arts, novelist, psychoanalyst, theater industry, performer, psychologist, music performer, pet, entertainer, actor, songwriter, clinical psychologist, scholar, college professor, psychotherapist, sociologist, playwright, activist, creative director","office assistant, office worker, secretary, stay at home parent, clerk, receptionist, libary assistant, personal assitant, bank teller, housekeeper, dental assistant, administrative assistant, accountant, interior decorator, pharmacist, clerical employee, office administrator, beautician, wedding planner, insurance agent, business administrator, banker, retail employee, financial advisor, legal secretary, shop assistant, dietician, office manager, florist, career in the fashion industry, administrative support",
12,RLOEI,"withdrawn, loner, moody, dislikes crowds, avoidant, not big on fun, socially unskilled, not that interested in others, overwhelmed by unpleasant feelings frequently, depressed, requires lots of time alone to recharge, socially awkward, hard to get to know, feels defective, averse to change, low self confidence, dislikes small talk, dislikes touchy feely types, private, not prone to complimenting others, driven by own personal gain, pessimistic, self absorbed, indifferent to the feelings of others, does not easily forgive, inflexible, skeptical, embarrassed easily, tense, lower energy level, attracted to things associated with sadness, very suspicious of others, does not believe in human goodness, interested in intellectual pursuits, does not put the welfare of others ahead of self, lonely, not known for generosity, unadventurous, doubting, quick to judge others, discontent, hard to understand, wounded at the core, believes in a logical answer for everything, worrying, uncooperative, agnostic/atheist tendencies, has anxiety, not physically affectionate with most people, feels second place is not good enough, frustrated when people don't live up to expectations","researcher, scientist, research scientist, scholar, academic, librarian, historian, university professor, astronomer, data analyst, book editor, research assistant, library assistant, genetics researcher, novelist, philosopher, analyst, systems analyst, bookseller, computer scientist, archivist, biotechnology, mathematician, statistician, neurologist, policy analyst, author, museum curator, biologist, strategist, philosophy professor, copy editor, biochemist, research psychologist, technical writer, geneticist, environmental scientist, history professor, archeology, aerospace engineer, information technology, political scientist, physicist, editor, art historian, anthropologist, botanist, forensic scientist, medical researcher, publisher, forensic anthropologist, egyptologist, freelance writer, paleontologist, biomedical engineer, microbiologist, ecologist, geologist, software developer, software engineer, virologist, computer programmer, chemist, engineer","bartender, entertainer, childcare worker, radio dj, event coordinator, performer, bar owner, comedian, actor, coach, part of the recording industry, sports management, social services, salesman"
13,RLUEI ,"avoidant, withdrawn, not usually happy, does not believe in human goodness, loner, moody, avoids crowds, depressed, overwhelmed by unpleasant feelings frequently, agnostic/atheistic tendencies, unsure where life is going, impatient, avoids eye contact, does not think things work out for the best, discontent, negative, suspicious of others, uncooperative, socially uncomfortable, hard to get to know, not punctual, low self confidence, pessimistic, lonely, does not finish work on time, does not like to lead, attracted to things associated with sadness, ambivalent about the problems of others, feels defective, fears failure, often bored, ambivalent about the suffering of others, unproductive, avoids unnecessary interaction, easily frustrated, does not finish many things, lower energy level, focuses on fantasies instead of reality, ambivalent about the needs of others, easily annoyed, rarely prepared, disorganized, quiet around strangers, slow to forgive, hard to understand, not that interested in others, skeptical, wounded at the core, self absorbed","
philosopher, freelance writer, novelist, author, astronomer, book editor, freelance artist, scholar, bookstore owner, bookseller, screenwriter, philosophy professor, poet, cinematographer, artist, playwright, librarian, comic book artist, art historian, publisher, archeologist, scientist, composer, video game designer, egyptologist, museum curator, researcher, paleontologist, anthropologist, musician, genetics researcher, historian, theologian, research psychologist, art director, research scientist, songwriter, history professor, linguist, computer animator, professor of english, illustrator, painter, assassin, cartoonist, library assistant, travel writer, curator, film critic, environmental scientist, filmmaker, journalist, english professor, aerospace engineer, political scientist, computer scientist, art curator, audio engineer, archivist, art education, college professor, academic, technical writer, webmaster, animator, psychoanalyst, music journalist, geneticist, astronaut, research assistant, software developer, website designer, movie director, web developer, film editor, copywriter, digital artist, editor music therapist, geologist, web designer, biologist, biochemist, mercenary","supervisor, sports management, event planner, wedding planner, even coordinator, manager, business administrator, administrator, businessman, childcare worker, hospitality manager, hospitality worker, coach, office manager, sales associate, business manager, athletic trainer, kindergarten teacher, preschool teacher, office administrator, human resources manager, health care worker, public relations manager, personal assistant, customer service representative, customer service employee, administrative support, business owner, early childhood educator, social services worker, office worker, secretary, fundraiser, receptionist, sales manager, nurse practitioner, pediatric nurse, executive, executive assistant"
14,RLUEN ,"overwhelmed by unpleasant feelings frequently, feels unattractive to others, lonely, not well read, socially unskilled, easily confused, discontent, attracted to things associated with sadness, socially uncomfortable, avoidant, depressed, pessimistic, feels defective, withdrawn, feels ordinary, easily offended, lower energy level, impatient, not usually happy, not well informed, does not believe in human goodness, self loathing, does not admit mistakes, not open to new experiences, moody, not known for generosity, feels victimized, selfish, loner, unambitious, unadventurous, inflexible, easily discouraged, insensitive to the needs of others, not that interested in others, dislikes crowds, driven by own personal gain, unassertive, tense, fearful, unimaginative, not that interested in relationships, uncooperative, feels incapable, dependent, doubting, not good at sports, weak sense of purpose, feels untalented, can be aggressive when hurt, easily moved to tears, quiet around strangers, acts without thinking, relates to broken and discarded things, slow to acquire skill","cartoonist, illustrator, digital artist, personal assistant, body piercer, song writer, video game designer, computer animator, singer, web designer, art director, work in the fashion industry, graphic artist, bounty hunter, job in professional athletics, library assistant, musician, job in the arts and media industry, software designer, truck driver, video editor, mortician, tattoo artist, pastry chef, music producer, freelance artist, plumber, funeral director, webmaster, bookseller, hair stylist, camera operator, veterinary technician, costume designer, graphic designer","academic, project manager, college professor, manager, public relations specialist, instructor, supervisor, educator, administator, research scientist, management consultant, ambassador, international relations specialist, strategist, business administrator, researcher, scholar, executive"
15,RCUEN,"not easily hurt, does not need things to add up perfectly, keeps emotions under control, spends more time in solitary activities than group activities, when ending an association - tends to stop all communication without explanation, does not readily admit mistakes, underachiever, not known for generosity, level emotions, does not care what people think, does not fit in, more logical than abstract, does not value tradition, uninterested in leadership, not impressionable, not prone to envy, values money over acceptance, not open about feelings, unproductive, values solitude, not very happy, pessimistic, plain appearance, inflexible, won't do much to avoid rejection, not afraid of doing the wrong thing, underachiever, does not accept people as they are, unable to stand up for self, slow to forgive, not that interested in others, does not care about image, not prone to giving compliments, rarely prepared, quiet around strangers, does not like touchy feely people, avoids responsibilities, avoids difficult reading material, rarely reinvents self, does not like to lead, not prone to worrying","assassin, game or video game designer, race car driver, mechanic, sound engineer, construction worker, automotive technician, electrician, musician, job in professional athletics, video editor, software designer, comic book artist, fighter pilot, animator, bounty hunter, cartoonist, software developer, mechanic, soldier, computer programmer, webmaster, electrical engineer, graphic artist, engineer, career in the computer industry, record store owner, truck driver, industrial engineer, carpenter, disc jockey, career in the military, industrial engineer, plumber, recording engineer, computer technician, webdeveloper, systems engineer, web designer, mechanical engineer, animal trainer, firefighter, pilot, graphic designer, tattoo artist, bar owner, mercenary","counselor, academic, teacher, school counselor, educator, psychologist, college professor, child psychologist, scholar, psychiatrist, event planner, english teacher, therapist, public relations manager, wedding planner, sociologist, medical doctor, research scientist, psychotherapist, public relations specialist"
16,RCUEI ,"atheist/agnostic tendencies, unconcerned with public image, lower energy level, does not value tradition, avoidant, does not put the welfare of others above self, not punctual, unproductive, does not believe in human goodness, not easily moved to tears, seldom bothered by the suffering of strangers, insensitive to the needs of others, relaxed, quiet around strangers, tendency to believe only in self, people have trouble reading them but they don't care, late finishing work, acts without planning, withdrawn, rarely too busy, not a perfectionist, uncooperative, not prone to complimenting people, does not believe in life after death, avoids crowds, prefers unpredictable to organized, not passionate about bettering the world's condition, does not second guess self, able to control cravings, calm in crisis, ambivalent to the feelings of others, believes in the importance of art, dislikes small talk, socially uncomfortable, private, not known for generosity, acts without consulting others, hard to get to know, not easily frustrated, interested in intellectual pursuits, not open about feelings, loner, asks many questions, open to change, influenced more by self than others, bored at work","philosopher, scientist, philosophy professor, video game designer, astronomer, aerospace engineer, author, nuclear engineer, astronaut, assassin, anthropologist, research scientist, archeologist, researcher, strategist, computer scientist, software engineer, game designer, software developer, genetics researcher, freelance writer, paleontologist, engineer, software designer, egyptologist, geneticist, biotechnology, physicist, book editor, scholar, political scientist, historian, novelist, biochemist, sound engineer, computer programmer, chemical engineer, screenwriter, audio engineer, comic book artist, pilot, computer technician, museum curator, computer engineer, computer animator, international spy, chemist, bookseller, academic, college professor, bounty hunter, poet, fighter pilot, biomedical engineer, computer consultant, biologist, web designer, bookstore owner, civil engineer, computer repair tech, microbiologist, playwrite, forest ranger, artist, network engineer, political analyst, composer, neurologist, botanist, professional musician, film director, mechanical engineer, linguist, mercenary, theologian, systems engineer, web developer, dictator, history professor, webmaster, digital artist, cartoonist, cinematographer, architect","child care worker, wedding planner, event planner, event coordinator, child care worker, childhood educator, personal assistant, hair stylist, fashion merchandiser, fashion industry, kindergarten teacher, stylist, stay at home parent, office assistant, preschool teacher, health care worker, hospitality worker, guidance counselor, social worker, secretary, interior decorator"
