SR NO,Type,Keywords,Favored Careers,Disfavoured Careers
17,SCOAI ,"happy, level emotions, not easily discouraged, optimistic, fearless, self confident, non-hostile, trusting, rarely sad, social, content, positive, knows where life is going, socially skilled, not quiet around strangers, acts comfortably with others, takes on responsibilities, likes public speaking, not prone to worrying, not apprehensive about new encounters, flexible, adapts easily to new situations, not afraid to draw attention to self, likes to lead, not bored while working, likes others, hard to annoy, calm in crisis, does not second guess self, not embarrassed easily, high energy level, easy to understand, thinks before acting, strong sense or purpose, likes crowds, interested in science, not prone to jealousy, comfortable in unfamiliar situations, fearless, not skeptical, true to self in all circumstances, highly motivated to succeed, decisive, easy to get to know, narcissistic, driven by reason, physically fit, passionate about bettering the world's condition, finishes most things they start, not easily confused, willing to explain things twice, thinks they are extraordinary","medical doctor, scientist, biotechnology, academic, research scientist, scholar, college professor, emt/paramedic, strategist, biologist, forensic scientist, ambassador, public health professional, researcher, neurologist, project manager, supervisor, philosopher, healer, biochemist, medical examiner, medical researcher, political scientist, neurosurgeon, mathematician, international relations specialist, public relations specialist, lawyer, surgeon, manager, philosophy professor, psychologist, professional college student, chemist, public relations manager, pediatrician, genetics researcher, microbiologist, research psychologist, chemistry teacher, sports medicine, military intelligence, nurse, ceo, health educator, physiotherapist, politician, forensic pathologist, diplomat, cardiologist, judge","hair dresser, tatoo artist, makeup artist, bar owner, comic book artist, cartoonist, fashion designer, body piercer, record store owner, shop assistant, assassin, truck driver, stay at home parent"
18,SCOAN ,"easy to understand, knows where life is going, not anxious, social, realistic, rarely loses things, is what they appear to be, easy to get to know, does not require lots of time alone to recharge, fearless, not lonely, happy, not self reflective, not doubting, level emotions, peaceful, non-hostile, does not fear failure, content, positive, good at sports, finishes most things they start, likes eye contact, easy to satisfy, accomplishes work on time, self confident, not prone to addiction, narcissistic, likes to lead, socially skilled, assertive, outgoing, trusting, likes crowds, not easily hurt, decisive, does not second guess self, not easily annoyed, religious tendencies, clean, orderly, good at getting people to like them, thinks before acting, usually not bored, worry free, productive, hard working, responsible, punctual, able to stand up for self, very busy, not easily distracted, logical, comfortable around others, not big on solitude, proper, don't get worked up about most things, relaxed, interested in others, generous, planner","event planner, wedding planner, early childhood educator, child care worker, preschool teacher, secretary, hair stylist, event coordinator, receptionist, guidance counselor, home maker, social services worker, school counselor, beautician, office assistant, stay at home parent, social worker, make up artist, fashion industry, hair dresser, kindergarten teacher, school psychologist, administrative assistant, fashion merchandiser, stylist, counselor, public relations specialist, personal assistant, child psychologist, nanny, health care worker, elementary school teacher, cosmetologist, midwife, pediatric nurse, nurse practitioner, customer service employee, interior designer, office worker","philosopher, scientist, video game designer, research scientist, astronaut, biotechnology, philosophy professor, assassin, astronomer, strategist, archeology, pilot, biochemist, computer engineer, engineer, computer scientist, aerospace engineer, environmental scientist, chemical engineer, paleontologist, biologist, computer networking, fighter pilot, nuclear engineer, architect, political scientist, military intelligence, computer programmer, software developer, archeologist, cia agent, sound engineer, computer tech"
19,SLOAN ,"makes plans and sticks to them, easily moved to tears, prefers organized to unpredictable, easy to get to know, clean, orderly, easily frustrated, heart over mind, prefers to finish things ahead of schedule, always on the go, organized, tense, easily hurt, prone to panic, religious tendencies, gregarious, open, punctual, perfectionist, realist, narcissistic, worrying, values rules and regulations, uninterested in science, competitive, interested in others, always prepared, aggressive, fears doing the wrong thing, generous, helpful, hard working, productive, socially skilled, ambivalent about theoretical discussions, strong sense of purpose, likes to lead, apologetic, finishes most things they start, not scientific, dislikes science fiction, spends more time in group activities than solitary activities, not mystical, not manipulative, traditional, emotional, fits in most places, feels best when romantically involved, prefers the familiar to the unfamiliar, motivated, prefers to do things with others","child care worker, event planner, kindergarten teacher, wedding planner, preschool teacher, early childhood educator, personal assistant, pediatric nurse, hospitality worker, nurse, health care worker, secretary, elementary school teacher, receptionist, event coordinator, nanny, hospitality manager, athletic trainer, social services worker, trainer, customer service employee, public health, manager, administrative support, school counselor, customer service representitive, public relations specialist, nurse practioner, social worker, executive assistant, office manager, supervisor, sports medicine, youth minister, office administrator, fundraiser, medical assitant, public relations manager, sports management, administrative assistant, special education teacher, office assistant, personal trainer, teacher, lifeguard, athlete, home maker, pediatrician, office worker, dance teacher, guidance counselor, youth pastor, beautician, fashion merchandiser, physical therapist, stylist",
20,SLOAI,"open, organized, asks lots of questions, outgoing, prone to panic, easily hurt, narcissistic, detail oriented, concerned about others, the first to act, believes children need firm discipline, finishes most things they start, comfortable around others, upset by the misfortunes of strangers, socially skilled, compliments others frequently, interested in people, busy, interested in the problems of others, tense, physically affectionate, overly nice, likes to lead, generous, in touch with feelings, not afraid to draw attention to self, manipulative, prone to jealousy, worrying, easily excited, motivated by a desire for acclaim, prone to addiction, frequently driven to impress others, passionate about causes, swayed by emotions, curious, anxious, passionate about bettering the world's condition, stressed, keeps spaces clean, believes in human goodness, well informed, thoughtful, assertive, fears doing the wrong thing, rushed","counselor, medical doctor, academic, event coordinator, college professor, school counselor, guidance counselor, psychologist, psychoanalyst, clinical psychologist, school psychologist, therapist, professor of english, teacher, research psychologist, psychiatrist, social services worker, philosophy professor, educator, english teacher, sociologist, activist, event planner, consultant, psychoterapist, forensic psychologist, instructor, theologian, journalist, forensic scientist, health educator, political scientist, special education teacher, researcher, freelance writer, administrator, research scientist, author, lawyer, kindergarten teacher, public relations specialist, fundraiser, book editor, high school teacher","video game designer, assassin, fighter pilot, truck driver, electrician, construction worker, automotive technician, mechanic, computer animator, computer repair technician, military employee, bounty hunter, electrical engineer, mechanical engineer, plumber, pilot, comic book artist, digital artist, computer engineer, computer industry"
21,SLUAI ,"easily confused, often late, rarely prepared, passionate about better the world's condition, easily distracted, wild and crazy, longs for a stabilizing relationship, prone to addiction, often rushed, show off, prone to worry, frequently loses things, does not accomplish work on time, acts without thinking, not good at sports, easily hurt, scatter-brained, very curious, spontaneous, not too hard working, aware of how the color and lighting of a room affects their mood, believes in a supernatural source of peace and love, can be talked into doing silly things, unpredictable, asks many questions, interested in others, upset by the misfortunes of strangers, believes in the importance of art, prefers have many different interests to just one, does not often know why they do things, moody, likes to be the center of attention, swayed by emotions, focuses on fantasies more than reality, acts without planning, becomes overwhelmed by events, able to disregard the rules, not good at saving money, eager to sooth hurt feelings, afraid of doing the wrong thing, can become aggressive when they feel hurt","author, philosophy professor, freelance writer, poet, philosopher, activist, journalist, novelist, freelance artist, playwright, theater industry, performer, songwriter, entertainer, artist, performing arts, creative director, actor, psychoanalyst, theater teacher, psychotherapist, comedian, music journalist, theater director, filmmaker, college professor, media industry, music therapist, painter, broadcast journalist, art director, screen writer, radio broadcaster, art curator, movie director, art therapist, musician, casting director, non profit sector, theologian, magazine editor, psychiatrist, research psychologist, photojournalist, archeologist, photographer, reporter, psychologist, cinematographer, photo journalist, english teacher, book editor, publisher, travel writer, film critic, art teacher, singer, child psychologist, film producer, anthropologist, radio dj, music producer, movie producer, therapist, sociologist, editor, environmentalist, illustrator, bookseller, art historian, counselor","business administrator, financial planner, office manager, financial manager, business manager, banker, sports management, administrative support, accountant, account manager, financial analyst, office worker, business consultant, investment banker"
22,SLUAN ,"often late, influenced more by others than self, easily frustrated, frequently driven to impress others, easily moved to tears, does not believe everything can be explained scientifically, fires back when someone hurts them, not analytical, easily distracted, does not always know what they are doing, easy to get to know, easily impressed, easily influenced, rarely prepared, not controlling, prone to jealousy, not bothered by disorder, low self confidence, acts without hesitation, not self reflective, thinks fun is the most important thing in life, worrying, easily hurt, spontaneous, tense, high maintenance, not detail oriented, unpredictable, prone to attachment, not interested in science, not afraid to draw attention to self, anxious, does not know why they do some things, not strict with self, inexplicably happy some of the time, attentive to appearances, underachiever, bases goals on inspiration rather than logic, will do a lot to avoid rejection, swayed by emotions, uses acts of kindness to get closer to people","hair stylist, entertainer, makeup artist, actor, performer, childcare worker, fashion merchandiser, radio dj, fashion designer, beautician, stylist, kindergarten teacher, theater industry, performing arts, fashion editor, school counselor, singer, wedding planner, massage therapist, analyst, costume designer, dancer, news anchor, dance teacher, stay at home parent, child psychologist, guidance counselor, preschool teacher, music industry, arts and media, entertainment industry, waiter/waitress, elementary school teacher, photographer, theater teacher, music journalist, bar owner, model, therapist, event coordinator, nanny, animal trainer, cosmetologist, stage manager, professional photographer, social worker, casting director, record store owner, receptionist, fundraiser, counselor, musician, special education teacher, interior decorator, body piercer, photo journalist, broadcaster, social services worker, music therapist, special education worker, tattoo artist, career in the television industry, home maker, interior designer","research scientist, researcher, strategist, scientist, academic, scholar, computer engineer, computer industry, technology industry, biotechnology, biomedical engineer, astronomer, systems analyst, nuclear engineer, government employee, data analyst, political scientist, mathematician"
23,SCUAN,"spends more time in group activities than solitary activities, not easily hurt, does not like to do things alone, comes alive in night life activities and crowds, trusting, fits in most places, positive, more comfortable when things are imperfect, more artistic than articulate, does not like to go days without speaking to anyone, more abstract than logical, not self absorbed, not materialistic, self expressive, modest, not vain, likes change, not introspective, happiest when helping others, loyal to a fault, wild and crazy, acts without thinking or planning, thoughtful, happy doing mindless work, easy to persuade, socially comfortable, high energy level, rarely prepared, outgoing, self confident, level emotions, not interested in science, easy to get to know, fearless, content, positive, optimistic, not easily hurt, relaxed, usually happy, able to disregard rules, underachiever, likes to tell jokes, not embarrassed easily, adapts easily to new situations, interested in others","comedian, entertainer, radio dj, bartender, actor, movie star, performer, rock star, bar owner, child care worker, career in the entertainment industry, career in the music industry, lifeguard, television industry, singer, career in the performing arts, athlete, race car driver, hair stylist, massage therapist, sports management, makeup artist, early childhood educator, record store owner or employee, music producer, music performer, coach, hair dresser, body piercer, nanny, songwriter, youth pastor, hospitality worker, fundraiser, tv producer, physical therapist, stage manager, event coordinator, dancer, tatto artist, firefighter, animal trainer, beautician, career in the fashion industry, waiter, model, movie director, police officer, flight attendant, fashion merchandiser, broadcaster, casting director, wedding planner, camera operator, photographer, creative director, theater director, public relations manager, pediatric nurse, musician, special education worker, athletic trainer, youth minister, high school teacher, fashion designer, school counselor, music journalist",
24,SCUAI ,"life of the party, not bothered by disorder, not afraid of doing the wrong thing, often late, level emotions, not afraid to draw attention to self, worry free, people loving, prefers unpredictable to organized, fearless, not apprehensive about new encounters, likes philosophical discussions, disorganized, not easily annoyed, not a perfectionist, enjoys danger, comfortable in unfamiliar situations, anxiety free, always joking, not very private, very curious, not embarrassed easily, adventurous, flexible, narcissistic, trusting, easy to get to know, easy to satisfy, likes crowds, ready to act on the spot, not a bad loser, outgoing, thrill seeker, not easily discouraged, optimistic, laid back, open to new experience, slow to judge others, thinks fun is the most important think in life, socially skilled, easily talked into doing silly things, rarely prepared, willing to take risks, adjusts easily, passionate about causes, willing to explain things twice, spontaneous, relaxed, believes in universal harmony, eager to soothe hurt feelings","philosopher, philosophy professor, comedian, entertainer, activist, screenwriter, poet, freelance writer, performing arts, author, novelist, freelance artist, missionary, ambassador, diplomat, music performer, guitarist, college professor, professional musician, film producer, songwriter, theologian, astronaut, radio broadcaster, music therapist, filmmaker, musician, broadcast journalist, drummer, playwright, radio dj, politician, environmental scientist, archeologist, civil servant, theater director, egyptologist, artist, psychoanalyst, non profit sector, travel writer, psychiatrist, archeology, movie producer, scientist, creative director, environmentalist, international relations specialist, composer, journalist, healer, theater teacher, actor, wildlife biologist, art therapist, international spy, historian, scholar, bartender, biotechnology, cinematographer, high school english teacher, high school history teacher, anthropologist, music industry, political scientist, theater technician, research psychologist","office worker, secretary, office assistant, office manager, office administrator, accountant, financial manager, investment banker, banker, loan officer, financial analyst, financial planner, bank teller, account manager, clerical employee, wedding planner, personal assistant, receptionist beautician, insurance agent"
25,SCOEI,"not afraid of doing the wrong thing, speaks up regardless of consequences, not filled with doubt, more dominant than submissive, not afraid to draw attention to self, self confident, does not back down when threatened, decisive, feels you have to be tough on people to get things done, not easily hurt, worry free, not easily intimidated, not concerned with failure when trying something new, aggressive, fearless, controlling, domineering, ambivalent about the suffering of strangers, not easily discouraged, out for own personal gain, comfortable in unfamiliar situations, unconcerned with the misfortunes of strangers, likes giving speeches, not easily moved to tears, manipulative, unapologetic, knows where life is going, narcissistic, exacting in their work, does not second guess self, untouched by other people's feelings, the first to act, level emotions, never at a loss for words, opinionated, demanding, goes after what they want, believes in a logical answer for everything, not very religious, show off, calm in crisis","ceo, executive, ambassador, strategist, businesman, business analyst, corporate lawyer, international business specialist, project manager, diplomat, political scientist, business consultant, business administrator, business manager, political analyst, entrepeneur, stock broker, politician, management consultant, financial manager, lawyer, scientist, investment banker, scholar, college professor, international relations specialist, philosophy professor, policy analyst, marketing director, judge, financial advisor, academic, research scientist, consultant, economist, philosopher, marketing manager, operations manager, financial planner, analyst, marketing specialist, supervisor, mathematician, advertising execuative, dictator, entertainment lawyer, biomedical engineer, business owner, nuclear engineer, administrator, researcher, genetics researcher, aerospace engineer, astronaut, biochemist, data analyst, international spy, financial analyst, chemical engineer, public relations specialist, civil engineer, neurosurgeon, neurologist, real estate investor architect, military intelligence","childcare worker, stay at home parent, elementary school teacher, kindergarten teacher, home maker, preschool teacher, zookeeper, photographer, hair stylist, nanny, social worker, midwife, nurse, beautician, makeup artist, body piercer, pediatric nurse, librarian, animal trainer, housekeeper, library assistant, secretary, florist, social services worker, shop assistant, receptionist, baker, office assistant"
26,SCOEN ,"not easily hurt, motivated, likes compliments, not mystical, not prone to envy, not particularly intellectual, decisive, mature, not bitter, not very introspective, fits in most places, traditional, keeps emotions under control, not very artistic, self expressive, values society, averse to stealing, attracted to prestige, keep up an appearance, trusting, does not second guess self, realist, fearless, not a good loser, self confident, does not put the welfare of others ahead of self, competitive, doubt free, feels you have to be tough on people to get things done, not afraid to draw attention to self, demanding, not easily hurt, not known for generosity, speaks up regardless of consequences, able to stand up for self, accomplishes work on time, rarely compliments people, productive, hard working, impatient, good at sports, makes plans and sticks with them, prefer to lead, controlling, aggressive, not easily frustrated, not embarrassed by praise, does not require lots of time alone to recharge, opinionated, more dominant than submissive","business consultant, business owner, fashion merchandiser, fashion industry, sales manager, manager, executive assistant, real estate agent, sports management, executive, advertising executive, model, marketing manager, office manager, supervisor, event planner, sales associate, business manager, choreographer, fashion editor, athletic trainer, ceo, public relations specialist, advertising, real estate investor, event coordinator, marketing specialist, athlete, buyer, business administrator, sylist, marketing director, small business owner, investment banker, real estate professional, wedding planner, financial manager, project manager, public relations manager","philosopher, author, novelist, philosophy professor, scientist, research scientist, astronomer, college professor, bookstore owner, freelance writer, bookseller, historian, psychoanalyst, poet, anthropologist, scholar, archeologist, biologist, non profit sector, book editor, archeology, librarian, research psychologist, researcher, theologian, environmental scientist, museum curator, egyptologist, genetics researcher, clinical psychologist, artist, research assistant, psychotherapist, wildlife biologist"
27,SLOEN,"dislikes science fiction, would not be happy if they were poor, not mystical, materialistic, likes compliments, values organized religion, motivated, not very introspective, uncomfortable with imperfection, very attentive to the social hierarchy, prone to envy, sees friendships as alliances, does not like to go days without speaking to anyone, self absorbed, more articulate than artistic, prefers instant gratification, not very intellectual, more logical than abstract, defensive, wants to be an authority figure, thinks loyalty is more important than individuality, keeps up an appearance, quick tempered, feels best when admired, feels best when thin, wants things done their way, feels best when they think they are great, emotional, feels best when others find them physically attractive, prefers to stick with things they know, dislikes gambling, feels you have to be tough on people to get things done, prefers organized to unpredictable, perfectionist, controlling, demanding, values rules and regulations, not very interested in theoretical discussions, driven to impress others","fashion merchandiser, fashion industry, model, stylist, makeup artist, wedding planner, fashion editor, beautician, event planner, cosmetologist, interior decorator/designer, dancer, business manager, real estate agent, receptionist, dance teacher, advertising, public relations manager, office manager, actor, magazine editor, hair stylist, secretary, salesperson, entertainer","scientist, philosopher, philosophy professor, astronaut, research scientist, astronomer, archeologist, scholar, game designer, researcher, theologian, video game designer, biotechnology, pilot, historian, novelist, strategist, anthropologist, history professor, computer scientist, environmentalist, scientist, wildlife biologist, microbiologist, fighter pilot, professor, computer engineer, chemist, egyptologist, biochemist, aerospace engineer, military intelligence"
28,SLOEI ,"demanding, controlling, aggressive, retaliatory, does not forgive easily, opinionated, domineering, does not accept what others say, believes that appearances are important, likes to be the center of attention, not patient with people who annoy them, easily annoyed, quick to judge others, preoccupied with self, show off, feels you have to be tough on people to get things done, prone to addiction, not good at sports, frequently pursues impressive achievements, takes charge, competitive, frustrated and angry when people don't live up to expectations, not on good terms with everyone, second place rarely feels good enough to them, antagonistic, able to stand up for self, acts superior to others, hard to satisfy, bothered by disorder, impatient, becomes aggressive when they feel hurt, decisive, abrupt, impulsive, more dominant than submissive, finishes most things they start, desires some level of fame in their community, unable to control cravings, acts out frustrations on others, easily frustrated, can become overwhelmed by events, does not readily admit mistakes, moody, not very religious","scholar, college professor, politician, university professor, political analyst, diplomat, philosopher, ambassador, reporter, academic, corporate lawyer, political scientist, news anchor, dictator, philosophy professor, lawyer, international relations specialist, international businesss specialist, author, ceo, executive, journalist, psychoanalyst, judge, english professor, financial analyst, editor, project manager, researcher, broadcast journalist, analyst, marketing director, publicist, business consultant, consultant, manager, policy analyst, business manager, performer, business administrator, entertainment lawyer, strategist, psychotherapist, investment banker, advertising executive, travel writer, performing arts, financial planner, media industry, fashion editor, publisher, screenwriter, magazine editor, broadcaster, freelance writer, sociologist, genetics researcher, marketing specialist, management consultant, technical writer, psychiatrist, actor, economist, geneticist, businessman, research scientist, art historian, model","childcare worker, mechanic, nurse, nanny, missionary, firefighter, stay at home parent, soldier, auto mechanic, physical therapist, body piercer, construction worker, police officer"
29,SLUEI ,"
prone to addiction, often late, does not think things work out for the best, impatient, discontent, negative, opinionated, acts without thinking, preoccupied with self, easily frustrated, not that interested in others, act at the expense of others, becomes aggressive when they feel hurt, acts wild and crazy, frustrated and angry when people don't live up to expectations, slow to forgive, takes charge, does not behave in way that is acceptable to society, pessimistic, agnostic/atheistic tendencies, not usually happy, not calm in crisis, does not accomplish work on time, spontaneous, not on good terms with everyone, demanding, misbehaved, improper, avoids responsibilities, not willing to let things rest, acts out frustrations on others, has a need to maintain high levels of excitement, rarely prepared, often bored while working, aggressive, asks questions nobody else does, hard to reason with, likes to be the center of attention, acts without planning, retaliatory, asks many questions, quick to correct others, more pleasure seeking than responsible, not hard working, disorganized, loses things, unable to control cravings","author, freelance writer, philosopher, playwrite, novelist, memeber of the performing arts, poet, screenwriter, film director, philosophy professor, actor, entertainer, filmmaker, film producer, creative director, theater industry, music journalist, actor, broadcast journalist, activist, music performer, art director, songwriter, travel writer, english professor, artist, editor, arts and media industry, egyptologist, art curator, theater teacher, pschoanalyst, film critic, diplomat, journalist, freelance artist, dictator, college professor, dj, composer, comedian, psychotherapist, photojournalist, tv producer, music producer, casting director, magazine editor, bookseller, record store owner, comic book artist, museum curator, entertainment lawyer, news anchor, political analyst, book editor, sociologist, political scientist, film editor, theologian, dancer, archeologist, clinical psychologist, international relations specialist, advertising executive","author, freelance writer, philosopher, playwrite, novelist, memeber of the performing arts, poet, screenwriter, film director, philosophy professor, actor, entertainer, filmmaker, film producer, creative director, theater industry, music journalist, actor, broadcast journalist, activist, music performer, art director, songwriter, travel writer, english professor, artist, editor, arts and media industry, egyptologist, art curator, theater teacher, pschoanalyst, film critic, diplomat, journalist, freelance artist, dictator, college professor, dj, composer, comedian, psychotherapist, photojournalist, tv producer, music producer, casting director, magazine editor, bookseller, record store owner, comic book artist, museum curator, entertainment lawyer, news anchor, political analyst, book editor, sociologist, political scientist, film editor, theologian, dancer, archeologist, clinical psychologist, international relations specialist, advertising executive"
30,SLUEN,"quick tempered, thinks winning is no fun unless people know you have one, does not keep emotions under control, prefers to do things with others, emotional, not very intellectual, prone to envy, comes alive in night life activities and crowds, vain, would not be happy if poor, prefers instant gratification, easily hurt, not very introspective, wants to be famous, seductive, does not readily admit mistakes, more comfortable when things are imperfect, would rather spend than save, feels best when others find them physically attractive, materialistic, finds ordinary tasks draining, wants things done their way, overwhelmed by unpleasant feelings frequently, spontaneous, easily frustrated, impatient, low self confidence, prone to jealousy, misbehaves, improper, acts out frustrations on others, opinionated, non known for generosity, more pleasure seeking than responsible, ambivalent regarding the suffering of others, hard to reason with, does not accept what others say, does not value solitude, unpredictable","actor, entertainer, model, rock star, fashion industry, theater teacher, hair stylist, stylist, beautician, fashion designer, performer, fashion merchandiser, entertainment industry, radio dj, bar owner, fashion editor, singer, television industry, choreographer, makeup artist, music performer, news anchor, bartender, costume designer, film director, dancer, music industry, dance teacher, record producer, interior designer, shop owner, shop assistant, broadcast journalist, reporter, stage manager, musician, film critic, event coordinator, advertiser, flight attendant, producer, waiter, fundraiser, event planner, musician, restaurant owner, career in sports management, entertainment lawyer, photo journalist, creative director, songwriter, artist, art director, music educator, advertising executive","research scientist, academic, scientist, researcher, analyst, scholar, strategist, college professor, biotechnology, lab technician, biochemist, goverment employee, non profit sector, environmental scientist, bookstore owner, mathematician, research psychologist, geneticist"
31,SCUEN ,"not easily hurt, spends more time in group activities than solitary activities, comes alive at parties and in crowds, not very religious, would not want to give up drinking or smoking, not mystical, not big on science fiction, does not care if people think poorly of them, not very introspective, fits in most places, does not like to go days without speaking to people, likes change, trusting, not very intellectual, underachiever, not easily moved to tears, thrill seeker, does not like to compromise, not apologetic, avoids difficult reading material, relaxed most of the time, likes danger, not punctual, impatient, not upset by the misfortunes of strangers, believes in an eye for an eye, not detail oriented, uninterested in the needs of others, avoids responsibilities, not known for generosity, more dominant than submissive, underachiever, likes crowds, aggressive, willing to take risks, not embarrassed easily, not passionate about improving the world, show off, socially comfortable, acts as they please, not bothered by disorder","rock star, movie star, entertainer, career in entertainment industry, comedian, actor, model, career in television industry, radio dj, performer, tv producer, bar owner, bartender, music producer, music dj, movie director, advertiser, television producer, career in the music industry, race car driver, fashion editor, tattoo artist, career in the media industry, athlete, sports management, broadcaster, stylist, body piercer, movie producer, international spy, singer, music performer, salesman, filmmaker, career in the theater industry, film editor, career in the fashion industry, costume designer, news anchor, advertising executive, dancer, athetic trainer, career in the arts and media, creative director, broadcast journalist, assassin, songwriter, fashion designer, entertainment lawyer, photagrapher, editor, film critic, video editor, lifeguard, bounty hunter, shop owner, personal trainer, career in the performing arts, sales associate, hair stylist, sales manager",
32,SCUEI ,"not afraid of doing the wrong things, does not value rules and regulations, prefers unpredictable to organized, does not accomplish work on time, needs to maintain high levels of excitement, out for own personal gain, not afraid to draw attention to self, more pleasure seeking than responsible, not bothered by disorder, retaliatory, thrives on the rush of risk taking, unpredictable, asks questions that nobody else does, often does not know what they are doing, spontaneous, first to act, not easily hurt, not apprehensive about new encounters, does not readily admit mistakes, not a perfectionist, not apologetic, disorganized, socially comfortable, outgoing, calm in crisis, fearless, atheist/agnostic tendencies, good at getting people to have fun, opinionated, not easily moved to tears, sexually immodest, adventurous, unconventional, aggressive, often late, high energy level, likes the spotlight, ambivalent about the needs of others, worry free, acts without thinking or planning, bad at saving money, selfish","philosopher, philosophy professor, film director, comedian, rock star, international spy, freelance writer, filmmaker, ambassador, movie director, screenwriter, diplomat, movie producer, astronaut, dictator, cinematographer, novelist, author, entertainer, playwrite, politician, performer, creative director, radio broadcaster, assassin, freelance artist, actor, music performer, dj, media industry, broadcast journalist, music producer, musician, egyptologist, poet, art director, performing arts, film critic, political analyst, fighter pilot, theater industry, tv producer, travel writer, strategist, photojournalist, reporter, scientist, songwriter, theater director, composer, film editor, broadcaster, college professor, casting director, astronomer, pilot, news anchor, radio dj, activist, anthropologist, psychoanalyst, sound engineer, entrepreneur, mercenary, artist, political scientist","video game designer, assassin, fighter pilot, truck driver, electrician, construction worker, automotive technician, mechanic, computer animator, computer repair technician, military employee, bounty hunter, electrical engineer, mechanical engineer, plumb"
